,start_time,end_time,trip_duration,start_station_id,start_station_name,end_station_id,end_station_name,usertype,gender,start_lat,start_lng,end_lat,end_lng,rideable_type,start_city,start_landmark,end_city,end_landmark,start_date,end_date,start_dpcapacity,end_dpcapacity,age,st_hour,st_minute,st_second,ed_hour,ed_minute,ed_second,st_year,st_month,st_day,ed_year,ed_month,ed_day
32,19:29:00,19:38:00,506,76,DuSable Lake Shore Dr & Monroe St,TA1307000113,Southport Ave & Wrightwood Ave,1,1,41.88105,-87.61697,41.92888,-87.66317,0,0,300,0,298,27/06/2013,27/06/2013,39,15,27,19,29,0,19,38,0,2013,6,27,2013,6,27
33,19:34:00,19:51:00,1020,90,Millennium Park,75,Canal St & Jackson Blvd,0,-1,41.8810317,-87.62408432,41.87811421,-87.63997112,0,0,8,0,138,27/06/2013,27/06/2013,45,50,-1,19,34,0,19,51,0,2013,6,27,2013,6,27
34,19:39:00,20:04:00,1489,TA1306000010,Daley Center Plaza,TA1306000016,Sheffield Ave & Fullerton Ave,1,0,41.884337,-87.630183,41.92560188,-87.65370804,0,0,23,0,60,27/06/2013,27/06/2013,39,25,32,19,39,0,20,4,0,2013,6,27,2013,6,27
35,19:40:00,22:28:00,10105,TA1305000014,Clark St & Wrightwood Ave,TA1306000011,Wells St & Walton St,0,-1,41.929546,-87.643118,41.89993001,-87.63443007,0,0,209,0,46,27/06/2013,27/06/2013,15,18,-1,19,40,0,22,28,0,2013,6,27,2013,6,27
36,19:42:00,20:05:00,1394,TA1305000011,Michigan Ave & Lake St,TA1305000002,Wabash Ave & Roosevelt Rd,1,0,41.88605812,-87.62428934,41.867173,-87.62595501,0,0,43,0,31,27/06/2013,27/06/2013,34,20,31,19,42,0,20,5,0,2013,6,27,2013,6,27
37,19:45:00,20:42:00,3419,TA1305000005,Dearborn St & Adams St,TA1305000005,Dearborn St & Adams St,0,-1,41.87935636,-87.62979104,41.87935636,-87.62979104,0,0,20,0,20,27/06/2013,27/06/2013,15,15,-1,19,45,0,20,42,0,2013,6,27,2013,6,27
38,19:46:00,19:57:00,653,TA1305000030,Clark St & Randolph St,TA1305000014,Clark St & Wrightwood Ave,0,-1,41.88457623,-87.63188991,41.929546,-87.643118,0,0,5,0,209,27/06/2013,27/06/2013,42,15,-1,19,46,0,19,57,0,2013,6,27,2013,6,27
39,19:47:00,20:16:00,1736,90,Millennium Park,TA1305000020,Ogden Ave & Chicago Ave,1,0,41.8810317,-87.62408432,41.89636246,-87.65406127,0,0,8,0,44,27/06/2013,27/06/2013,45,19,68,19,47,0,20,16,0,2013,6,27,2013,6,27
40,19:47:00,20:16:00,1764,90,Millennium Park,TA1305000020,Ogden Ave & Chicago Ave,1,0,41.8810317,-87.62408432,41.89636246,-87.65406127,0,0,8,0,44,27/06/2013,27/06/2013,45,19,39,19,47,0,20,16,0,2013,6,27,2013,6,27
41,19:47:00,20:16:00,1766,90,Millennium Park,TA1305000020,Ogden Ave & Chicago Ave,1,1,41.8810317,-87.62408432,41.89636246,-87.65406127,0,0,8,0,44,27/06/2013,27/06/2013,45,19,66,19,47,0,20,16,0,2013,6,27,2013,6,27
42,19:47:00,20:16:00,1768,TA1307000113,Southport Ave & Wrightwood Ave,TA1305000020,Ogden Ave & Chicago Ave,1,1,41.92888,-87.66317,41.89636246,-87.65406127,0,0,298,0,44,27/06/2013,27/06/2013,15,19,27,19,47,0,20,16,0,2013,6,27,2013,6,27
43,19:50:00,20:19:00,1738,TA1305000029,State St & Randolph St,TA1305000029,State St & Randolph St,0,-1,41.8847302,-87.62773357,41.8847302,-87.62773357,0,0,2,0,2,27/06/2013,27/06/2013,23,23,-1,19,50,0,20,19,0,2013,6,27,2013,6,27
44,19:52:00,20:05:00,776,61,Wood St & Milwaukee Ave,61,Wood St & Milwaukee Ave,1,0,41.907655,-87.672552,41.907655,-87.672552,0,0,221,0,221,27/06/2013,27/06/2013,17,17,24,19,52,0,20,5,0,2013,6,27,2013,6,27
45,19:52:00,20:50:00,3482,TA1305000003,Fairbanks Ct & Grand Ave,TA1305000003,Fairbanks Ct & Grand Ave,0,-1,41.89186,-87.62062,41.89186,-87.62062,0,0,262,0,262,27/06/2013,27/06/2013,14,14,-1,19,52,0,20,50,0,2013,6,27,2013,6,27
46,20:07:00,20:13:00,383,17,Honore St & Division St,17,Honore St & Division St,1,0,41.90332,-87.67273,41.90332,-87.67273,0,0,246,0,246,27/06/2013,27/06/2013,23,23,29,20,7,0,20,13,0,2013,6,27,2013,6,27
47,20:21:00,20:34:00,795,TA1305000020,Ogden Ave & Chicago Ave,17,Honore St & Division St,1,1,41.89636246,-87.65406127,41.90332,-87.67273,0,0,44,0,246,27/06/2013,27/06/2013,19,23,66,20,21,0,20,34,0,2013,6,27,2013,6,27
48,20:22:00,20:34:00,735,TA1305000020,Ogden Ave & Chicago Ave,17,Honore St & Division St,1,0,41.89636246,-87.65406127,41.90332,-87.67273,0,0,44,0,246,27/06/2013,27/06/2013,19,23,39,20,22,0,20,34,0,2013,6,27,2013,6,27
49,20:22:00,20:34:00,736,TA1305000020,Ogden Ave & Chicago Ave,17,Honore St & Division St,1,1,41.89636246,-87.65406127,41.90332,-87.67273,0,0,44,0,246,27/06/2013,27/06/2013,19,23,27,20,22,0,20,34,0,2013,6,27,2013,6,27
50,20:22:00,20:34:00,759,TA1305000020,Ogden Ave & Chicago Ave,17,Honore St & Division St,1,0,41.89636246,-87.65406127,41.90332,-87.67273,0,0,44,0,246,27/06/2013,27/06/2013,19,23,68,20,22,0,20,34,0,2013,6,27,2013,6,27
51,20:22:00,20:39:00,996,TA1305000011,Michigan Ave & Lake St,TA1305000011,Michigan Ave & Lake St,0,-1,41.88605812,-87.62428934,41.88605812,-87.62428934,0,0,43,0,43,27/06/2013,27/06/2013,34,34,-1,20,22,0,20,39,0,2013,6,27,2013,6,27
52,20:22:00,20:50:00,1712,20,Sheffield Ave & Kingsbury St,TA1306000011,Wells St & Walton St,0,-1,41.90959193,-87.65349723,41.89993001,-87.63443007,0,0,154,0,46,27/06/2013,27/06/2013,14,18,-1,20,22,0,20,50,0,2013,6,27,2013,6,27
53,20:25:00,20:39:00,818,TA1305000011,Michigan Ave & Lake St,TA1305000011,Michigan Ave & Lake St,0,-1,41.88605812,-87.62428934,41.88605812,-87.62428934,0,0,43,0,43,27/06/2013,27/06/2013,34,34,-1,20,25,0,20,39,0,2013,6,27,2013,6,27
54,20:33:00,21:22:00,2936,TA1305000029,State St & Randolph St,TA1305000011,Michigan Ave & Lake St,0,-1,41.8847302,-87.62773357,41.88605812,-87.62428934,0,0,2,0,43,27/06/2013,27/06/2013,23,34,-1,20,33,0,21,22,0,2013,6,27,2013,6,27
55,20:50:00,20:54:00,223,31,Franklin St & Chicago Ave,TA1306000009,Larrabee St & Kingsbury St,1,0,41.89680204,-87.63563839,41.897764,-87.642884,0,0,17,0,12,27/06/2013,27/06/2013,22,43,35,20,50,0,20,54,0,2013,6,27,2013,6,27
56,20:57:00,21:00:00,172,74,Kingsbury St & Erie St,TA1306000009,Larrabee St & Kingsbury St,1,0,41.89384315,-87.64185116,41.897764,-87.642884,0,0,265,0,12,27/06/2013,27/06/2013,23,43,35,20,57,0,21,0,0,2013,6,27,2013,6,27
57,21:15:00,21:27:00,703,TA1305000032,Clinton St & Madison St,55,Halsted St & James M Rochford St,1,0,41.8815824,-87.64127743,41.865861,-87.646611,0,0,301,0,166,27/06/2013,27/06/2013,27,15,49,21,15,0,21,27,0,2013,6,27,2013,6,27
58,21:39:00,21:51:00,730,TA1305000041,Damen Ave & Pierce Ave,29,Noble St & Milwaukee Ave,0,-1,41.90939601,-87.67769193,41.90068,-87.6626,0,0,65,0,290,27/06/2013,27/06/2013,21,13,-1,21,39,0,21,51,0,2013,6,27,2013,6,27
59,21:41:00,21:43:00,141,60,Dayton St & North Ave,60,Dayton St & North Ave,1,0,41.91057803,-87.64942193,41.91057803,-87.64942193,0,0,58,0,58,27/06/2013,27/06/2013,19,19,31,21,41,0,21,43,0,2013,6,27,2013,6,27
60,21:43:00,21:56:00,748,60,Dayton St & North Ave,60,Dayton St & North Ave,1,0,41.91057803,-87.64942193,41.91057803,-87.64942193,0,0,58,0,58,27/06/2013,27/06/2013,19,19,31,21,43,0,21,56,0,2013,6,27,2013,6,27
61,21:47:00,22:23:00,2123,45,Michigan Ave & Ida B Wells Dr,29,Noble St & Milwaukee Ave,1,0,41.8760656,-87.62443336,41.90068,-87.6626,0,0,40,0,290,27/06/2013,27/06/2013,14,13,31,21,47,0,22,23,0,2013,6,27,2013,6,27
62,21:54:00,21:56:00,128,TA1305000002,Wabash Ave & Roosevelt Rd,TA1305000002,Wabash Ave & Roosevelt Rd,1,0,41.867173,-87.62595501,41.867173,-87.62595501,0,0,31,0,31,27/06/2013,27/06/2013,20,20,33,21,54,0,21,56,0,2013,6,27,2013,6,27
63,21:59:00,22:01:00,128,60,Dayton St & North Ave,60,Dayton St & North Ave,1,0,41.91057803,-87.64942193,41.91057803,-87.64942193,0,0,58,0,58,27/06/2013,27/06/2013,19,19,31,21,59,0,22,1,0,2013,6,27,2013,6,27
64,22:10:00,22:20:00,594,17,Honore St & Division St,TA1305000041,Damen Ave & Pierce Ave,1,0,41.90332,-87.67273,41.90939601,-87.67769193,0,0,246,0,65,27/06/2013,27/06/2013,23,21,39,22,10,0,22,20,0,2013,6,27,2013,6,27
65,22:14:00,22:36:00,1329,TA1305000005,Dearborn St & Adams St,94,Lincoln Ave & Armitage Ave,1,0,41.87935636,-87.62979104,41.918273,-87.638116,0,0,20,0,146,27/06/2013,27/06/2013,15,19,26,22,14,0,22,36,0,2013,6,27,2013,6,27
66,22:15:00,22:36:00,1292,61,Wood St & Milwaukee Ave,17,Honore St & Division St,0,-1,41.907655,-87.672552,41.90332,-87.67273,0,0,221,0,246,27/06/2013,27/06/2013,17,23,-1,22,15,0,22,36,0,2013,6,27,2013,6,27
67,22:16:00,22:42:00,1511,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,0,-1,41.90096039,-87.62377664,41.90096039,-87.62377664,0,0,42,0,42,27/06/2013,27/06/2013,21,21,-1,22,16,0,22,42,0,2013,6,27,2013,6,27
68,22:17:00,22:36:00,1125,61,Wood St & Milwaukee Ave,17,Honore St & Division St,0,-1,41.907655,-87.672552,41.90332,-87.67273,0,0,221,0,246,27/06/2013,27/06/2013,17,23,-1,22,17,0,22,36,0,2013,6,27,2013,6,27
69,22:17:00,22:42:00,1512,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,0,-1,41.90096039,-87.62377664,41.90096039,-87.62377664,0,0,42,0,42,27/06/2013,27/06/2013,21,21,-1,22,17,0,22,42,0,2013,6,27,2013,6,27
70,22:20:00,22:36:00,964,61,Wood St & Milwaukee Ave,17,Honore St & Division St,0,-1,41.907655,-87.672552,41.90332,-87.67273,0,0,221,0,246,27/06/2013,27/06/2013,17,23,-1,22,20,0,22,36,0,2013,6,27,2013,6,27
71,22:23:00,22:39:00,972,61,Wood St & Milwaukee Ave,16,Paulina Ave & North Ave,0,-1,41.907655,-87.672552,41.910329,-87.672516,0,0,221,0,223,27/06/2013,27/06/2013,17,11,-1,22,23,0,22,39,0,2013,6,27,2013,6,27
72,22:23:00,22:39:00,977,61,Wood St & Milwaukee Ave,16,Paulina Ave & North Ave,0,-1,41.907655,-87.672552,41.910329,-87.672516,0,0,221,0,223,27/06/2013,27/06/2013,17,11,-1,22,23,0,22,39,0,2013,6,27,2013,6,27
73,22:26:00,23:04:00,2272,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,0,-1,41.90096039,-87.62377664,41.90096039,-87.62377664,0,0,42,0,42,27/06/2013,27/06/2013,21,21,-1,22,26,0,23,4,0,2013,6,27,2013,6,27
74,22:33:00,23:05:00,1911,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,0,-1,41.90096039,-87.62377664,41.90096039,-87.62377664,0,0,42,0,42,27/06/2013,27/06/2013,21,21,-1,22,33,0,23,5,0,2013,6,27,2013,6,27
75,22:35:00,23:04:00,1758,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,0,-1,41.90096039,-87.62377664,41.90096039,-87.62377664,0,0,42,0,42,27/06/2013,27/06/2013,21,21,-1,22,35,0,23,4,0,2013,6,27,2013,6,27
76,22:41:00,22:53:00,730,17,Honore St & Division St,61,Wood St & Milwaukee Ave,0,-1,41.90332,-87.67273,41.907655,-87.672552,0,0,246,0,221,27/06/2013,27/06/2013,23,17,-1,22,41,0,22,53,0,2013,6,27,2013,6,27
77,23:05:00,23:37:00,1866,TA1306000016,Sheffield Ave & Fullerton Ave,348,California Ave & 21st St,0,-1,41.92560188,-87.65370804,41.854016,-87.695445,0,0,60,0,96,27/06/2013,27/06/2013,25,14,-1,23,5,0,23,37,0,2013,6,27,2013,6,27
78,23:06:00,23:37:00,1856,TA1306000016,Sheffield Ave & Fullerton Ave,34,Cannon Dr & Fullerton Ave,0,-1,41.92560188,-87.65370804,41.92675599,-87.63442878,0,0,60,0,124,27/06/2013,27/06/2013,25,15,-1,23,6,0,23,37,0,2013,6,27,2013,6,27
79,23:07:00,23:26:00,1117,61,Wood St & Milwaukee Ave,30,Ashland Ave & Augusta Blvd,0,-1,41.907655,-87.672552,41.899643,-87.6677,0,0,221,0,248,27/06/2013,27/06/2013,17,14,-1,23,7,0,23,26,0,2013,6,27,2013,6,27
80,23:09:00,23:26:00,980,61,Wood St & Milwaukee Ave,30,Ashland Ave & Augusta Blvd,0,-1,41.907655,-87.672552,41.899643,-87.6677,0,0,221,0,248,27/06/2013,27/06/2013,17,14,-1,23,9,0,23,26,0,2013,6,27,2013,6,27
81,23:14:00,23:39:00,1512,85,Michigan Ave & Oak St,350,Ashland Ave & Chicago Ave,1,1,41.90096039,-87.62377664,41.895966,-87.667747,0,0,42,0,247,27/06/2013,27/06/2013,21,14,30,23,14,0,23,39,0,2013,6,27,2013,6,27
82,23:24:00,23:51:00,1642,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,0,-1,41.90096039,-87.62377664,41.90096039,-87.62377664,0,0,42,0,42,27/06/2013,27/06/2013,21,21,-1,23,24,0,23,51,0,2013,6,27,2013,6,27
83,23:36:00,0:34:00,3513,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,0,-1,41.90096039,-87.62377664,41.90096039,-87.62377664,0,0,42,0,42,27/06/2013,28/06/2013,21,21,-1,23,36,0,0,34,0,2013,6,27,2013,6,28
84,23:43:00,0:21:00,2285,34,Cannon Dr & Fullerton Ave,34,Cannon Dr & Fullerton Ave,0,-1,41.92675599,-87.63442878,41.92675599,-87.63442878,0,0,124,0,124,27/06/2013,28/06/2013,15,15,-1,23,43,0,0,21,0,2013,6,27,2013,6,28
85,23:44:00,23:51:00,423,TA1306000025,Racine Ave & Congress Pkwy,15,Racine Ave & 18th St,0,-1,41.87464,-87.65703,41.85818061,-87.65648665,0,0,76,0,164,27/06/2013,27/06/2013,19,12,-1,23,44,0,23,51,0,2013,6,27,2013,6,27
86,0:04:00,0:37:00,1977,WL-011,Jefferson St & Monroe St,WL-011,Jefferson St & Monroe St,0,-1,41.880422,-87.642746,41.880422,-87.642746,0,0,38,0,38,28/06/2013,28/06/2013,15,15,-1,0,4,0,0,37,0,2013,6,28,2013,6,28
87,0:04:00,0:37:00,1995,WL-011,Jefferson St & Monroe St,WL-011,Jefferson St & Monroe St,0,-1,41.880422,-87.642746,41.880422,-87.642746,0,0,38,0,38,28/06/2013,28/06/2013,15,15,-1,0,4,0,0,37,0,2013,6,28,2013,6,28
88,0:08:00,0:24:00,944,90,Millennium Park,90,Millennium Park,0,-1,41.8810317,-87.62408432,41.8810317,-87.62408432,0,0,8,0,8,28/06/2013,28/06/2013,45,45,-1,0,8,0,0,24,0,2013,6,28,2013,6,28
89,0:10:00,0:38:00,1656,29,Noble St & Milwaukee Ave,29,Noble St & Milwaukee Ave,0,-1,41.90068,-87.6626,41.90068,-87.6626,0,0,290,0,290,28/06/2013,28/06/2013,13,13,-1,0,10,0,0,38,0,2013,6,28,2013,6,28
90,0:23:00,0:36:00,736,311,Lincoln Ave & Eastwood Ave,TA1306000016,Sheffield Ave & Fullerton Ave,0,-1,41.96583,-87.68651,41.92560188,-87.65370804,0,0,237,0,60,28/06/2013,28/06/2013,15,25,-1,0,23,0,0,36,0,2013,6,28,2013,6,28
91,0:36:00,0:50:00,832,60,Dayton St & North Ave,SL-005,Indiana Ave & Roosevelt Rd,1,1,41.91057803,-87.64942193,41.867888,-87.623041,0,0,58,0,309,28/06/2013,28/06/2013,19,37,43,0,36,0,0,50,0,2013,6,28,2013,6,28
92,0:46:00,0:49:00,223,60,Dayton St & North Ave,20,Sheffield Ave & Kingsbury St,0,-1,41.91057803,-87.64942193,41.90959193,-87.65349723,0,0,58,0,154,28/06/2013,28/06/2013,19,14,-1,0,46,0,0,49,0,2013,6,28,2013,6,28
93,0:50:00,0:55:00,297,94,Lincoln Ave & Armitage Ave,TA1305000014,Clark St & Wrightwood Ave,1,0,41.918273,-87.638116,41.929546,-87.643118,0,0,146,0,209,28/06/2013,28/06/2013,19,15,26,0,50,0,0,55,0,2013,6,28,2013,6,28
94,0:56:00,0:58:00,142,94,Lincoln Ave & Armitage Ave,94,Lincoln Ave & Armitage Ave,1,0,41.918273,-87.638116,41.918273,-87.638116,0,0,146,0,146,28/06/2013,28/06/2013,19,19,26,0,56,0,0,58,0,2013,6,28,2013,6,28
95,1:24:00,1:44:00,1196,TA1305000041,Damen Ave & Pierce Ave,TA1305000029,State St & Randolph St,0,-1,41.90939601,-87.67769193,41.8847302,-87.62773357,0,0,65,0,2,28/06/2013,28/06/2013,21,23,-1,1,24,0,1,44,0,2013,6,28,2013,6,28
96,2:08:00,2:24:00,915,TA1305000005,Dearborn St & Adams St,TA1305000005,Dearborn St & Adams St,0,-1,41.87935636,-87.62979104,41.87935636,-87.62979104,0,0,20,0,20,28/06/2013,28/06/2013,15,15,-1,2,8,0,2,24,0,2013,6,28,2013,6,28
97,3:26:00,4:11:00,2681,TA1305000011,Michigan Ave & Lake St,TA1305000011,Michigan Ave & Lake St,0,-1,41.88605812,-87.62428934,41.88605812,-87.62428934,0,0,43,0,43,28/06/2013,28/06/2013,34,34,-1,3,26,0,4,11,0,2013,6,28,2013,6,28
